Endo	RF	all	0.674302529153	0.660764802366	0.685357796491	0.668150178756	0.686526112228	0.642936781802	0.653122561635	0.673734380391	0.688835317049	0.662579443055
Endo	SVM	all	0.574655537048	0.622416359887	0.589940119042	0.569099912884	0.586231600206	0.579346364084	0.594627295949	0.606926392198	0.598278358863	0.618174399552
Endo	LR	all	0.549787423584	0.562255913623	0.536779060212	0.547132797132	0.533737365597	0.541481242447	0.560216049416	0.560890308033	0.510000764301	0.551530106626
K562	RF	all	0.685968280852	0.693163444946	0.665878089344	0.668854619101	0.67433502673	0.678377956856	0.682815133898	0.686270430449	0.673799140406	0.671500086007
K562	SVM	all	0.622341215527	0.625475911711	0.616594598606	0.600290127873	0.612462703377	0.611846493155	0.605055691448	0.627054967782	0.603261919586	0.594541635898
K562	LR	all	0.520804599	0.547194992369	0.509117590137	0.518170181299	0.487314732364	0.529148576716	0.5379292747	0.517744989847	0.505711634503	0.474358473902
keratinocyte	RF	all	0.658516799427	0.62984869021	0.664062675042	0.622457324592	0.668356755987	0.648175383931	0.625002172767	0.645692910843	0.678372274009	0.645177443157
keratinocyte	SVM	all	0.578475362036	0.540109296467	0.585691183851	0.569324647472	0.544568645334	0.615204724865	0.574467958565	0.535562362751	0.568983231728	0.580280201449
keratinocyte	LR	all	0.503502294267	0.536060255081	0.497558710764	0.524919851338	0.523966854512	0.503194275566	0.496116446542	0.520016768056	0.512108269806	0.540059776485
gastrocnemius medialis	RF	all	0.649908310321	0.658573390177	0.655117317795	0.662595834433	0.662639800301	0.654719261851	0.667116769695	0.681489030904	0.663045299819	0.63966052024
gastrocnemius medialis	SVM	all	0.556823485844	0.551131691308	0.546917130904	0.546878871242	0.554020331245	0.550252810282	0.489315591111	0.54917650014	0.533801070414	0.568542039764
gastrocnemius medialis	LR	all	0.475178045703	0.475221942779	0.436610741952	0.438812977185	0.438150585195	0.457276507418	0.443614529066	0.496545249137	0.427658976166	0.450628736499
SK-N-SH	RF	all	0.659698341214	0.671963849732	0.650590742511	0.647867172836	0.668901743365	0.642496286557	0.659382222702	0.66991961147	0.668943155172	0.636200280285
SK-N-SH	SVM	all	0.579877103181	0.585757695875	0.570605355909	0.617945583752	0.606720966528	0.58943830133	0.582695321832	0.593403254048	0.602626992157	0.582343081016
SK-N-SH	LR	all	0.48202377328	0.499209854253	0.487324353184	0.504192427539	0.480422827707	0.488518450463	0.524092368139	0.500992847381	0.482904983025	0.502844311012
thyroid gland	RF	all	0.538980020292	0.54836241172	0.551123330578	0.574952843574	0.562377873297	0.54339475419	0.535657503545	0.557787900869	0.521910166633	0.547699953286
thyroid gland	SVM	all	0.497684440384	0.492297366687	0.47558273735	0.49281067187	0.474371662441	0.474906981679	0.456356270176	0.48539853504	0.494867858796	0.474678206588
thyroid gland	LR	all	0.422141965079	0.406319161364	0.424072112723	0.391198152366	0.372323155372	0.377038832318	0.386168292727	0.38755508816	0.397716795487	0.386953815052
