K562	0.05	train	3500	1.0
K562	0.05	test	3500	1.0
K562	0.05	train	3600	0.0
K562	0.05	test	3600	0.0
K562	0.05	train	3700	1.0
K562	0.05	test	3700	1.0
K562	0.05	train	3800	1.0
K562	0.05	test	3800	1.0
K562	0.05	train	3900	0.0
K562	0.05	test	3900	0.0
K562	0.05	train	4000	0.0
K562	0.05	test	4000	0.0
K562	0.05	train	4100	1.0
K562	0.05	test	4100	1.0
K562	0.05	train	4200	1.0
K562	0.05	test	4200	1.0
K562	0.05	train	4300	0.0
K562	0.05	test	4300	0.0
K562	0.05	train	4400	0.0
K562	0.05	test	4400	0.0
K562	0.05	train	4500	1.0
K562	0.05	test	4500	1.0
K562	0.05	train	4600	0.0
K562	0.05	test	4600	0.0
K562	0.05	train	4700	1.0
K562	0.05	test	4700	1.0
K562	0.05	train	4800	0.0
K562	0.05	test	4800	0.0
K562	0.05	train	4900	1.0
K562	0.05	test	4900	1.0
K562	0.0005	train	0	0.369333
K562	0.0005	test	0	0.390407
K562	0.0005	train	100	0.844862
K562	0.0005	test	100	0.885361
K562	0.0005	train	200	0.900251
K562	0.0005	test	200	0.889334
K562	0.0005	train	300	0.894835
K562	0.0005	test	300	0.895293
K562	0.0005	train	400	0.868559
K562	0.0005	test	400	0.898835
K562	0.0005	train	500	0.88104
K562	0.0005	test	500	0.901704
K562	0.0005	train	600	0.906401
K562	0.0005	test	600	0.899885
K562	0.0005	train	700	0.909964
K562	0.0005	test	700	0.901673
K562	0.0005	train	800	0.91405
K562	0.0005	test	800	0.9042
K562	0.0005	train	900	0.905
K562	0.0005	test	900	0.900451
K562	0.0005	train	1000	0.920673
K562	0.0005	test	1000	0.903112
K562	0.0005	train	1100	0.917544
K562	0.0005	test	1100	0.902292
K562	0.0005	train	1200	0.934943
K562	0.0005	test	1200	0.903656
K562	0.0005	train	1300	0.929793
K562	0.0005	test	1300	0.899832
K562	0.0005	train	1400	0.935274
K562	0.0005	test	1400	0.899944
K562	0.0005	train	1500	0.955086
K562	0.0005	test	1500	0.901751
K562	0.0005	train	1600	0.939694
K562	0.0005	test	1600	0.903142
K562	0.0005	train	1700	0.917677
K562	0.0005	test	1700	0.900667
K562	0.0005	train	1800	0.935
K562	0.0005	test	1800	0.895963
K562	0.0005	train	1900	0.944097
K562	0.0005	test	1900	0.901677
K562	0.0005	train	2000	0.959784
K562	0.0005	test	2000	0.904162
K562	0.0005	train	2100	0.96416
K562	0.0005	test	2100	0.898645
